BORO,USEDEC,ADDRESS,NAME,state
MANHATTAN,ELEMENTARY SCHOOL,2121 5 AVENUE,PS 133,NY
STATEN ISLAND,ELEMENTARY SCHOOL,330 DURANT AVENUE,PS 53& PLAYGROUND (JOP),NY
BRONX,ELEMENTARY SCHOOL,1020 ANDERSON AVENUE,PS 73 & MINI SCHOOL,NY
STATEN ISLAND,ELEMENTARY SCHOOL,66 THE BOULEVARD,PS 30,NY
BRONX,ELEMENTARY SCHOOL,1425 WALTON AVENUE,PS 64,NY
MANHATTAN,ELEMENTARY SCHOOL,122 HENRY STREET,PS 2,NY
BROOKLYN,ACADEMIC HIGH SCHOOL,850 GRAND STREET,EASTERN DISTRICT HS,NY
BROOKLYN,ELEMENTARY SCHOOL,7601 19 AVENUE,PS 186 & PLAYGROUND,NY
BROOKLYN,ELEMENTARY SCHOOL,800 BUSHWICK AVENUE,"PS 274, MINI SCHL & PLAYGRND",NY
BROOKLYN,ELEMENTARY SCHOOL,1400 PENNSYLVANIA AVENUE,PS 346 & PLAYGROUND,NY
BROOKLYN,ELEMENTARY SCHOOL,330 ALABAMA AVENUE,PS 328 & PLAYGROUND,NY
BROOKLYN,INTERMEDIATE SCHOOL,59 STARR STREET,IS 111 & PLAYGROUND,NY
QUEENS,ELEMENTARY SCHOOL,130-02 115 AVENUE,PS 155 & PLAYGROUND,NY
BRONX,ELEMENTARY SCHOOL,1020 ANDERSON AVENUE,PS 73 & MINI SCHOOL,NY
BRONX,ELEMENTARY SCHOOL,577 EAST 180 STREET,PS 3,NY
BROOKLYN,ELEMENTARY SCHOOL,4001 18 AVENUE,PS 139 ANNEX (OLD 134-K),NY
QUEENS,ELEMENTARY SCHOOL,40-20 235 STREET,PS 98 & PLAYGROUND,NY
BRONX,ELEMENTARY SCHOOL,279 EAST 196 STREET,PS 46 AND MINI SCHOOL,NY
BROOKLYN,ELEMENTARY SCHOOL,9115 5 AVENUE,PS 104 & PLAYGROUND,NY
BROOKLYN,INTERMEDIATE SCHOOL,466 LEONARD STREET,JHS 126 & PLAYGROUND,NY
QUEENS,ELEMENTARY SCHOOL,825 HICKSVILLE ROAD,PS 197 & LANETT PLAYGROUND,NY
BRONX,ELEMENTARY SCHOOL,2714 DECATUR AVENUE,PS 54,NY
MANHATTAN,ALTERNATIVE HIGH SCHOOL,230-34 EAST 105 STREET,PARK EAST ALT HS,NY
QUEENS,ELEMENTARY SCHOOL,0 116 AVENUE,PS 140 & PLAYGROUND,NY
MANHATTAN,ELEMENTARY SCHOOL,1750 AMSTERDAM AVENUE,PS 153,NY
BRONX,ELEMENTARY SCHOOL,700 EAST 179 STREET,PS 92,NY
MANHATTAN,INTERMEDIATE SCHOOL,141 STANTON ST,IS 25,NY
BROOKLYN,ACADEMIC HIGH SCHOOL,1 WELLS STREET,ENY VOC & TECH H.S,NY
MANHATTAN,ELEMENTARY SCHOOL,250 WEST 127 STREET,PS 154,NY
BROOKLYN,ELEMENTARY SCHOOL,370 MARCY AVENUE,PS 380 & PLAYGROUND,NY
QUEENS,INTERMEDIATE SCHOOL,147-26 25 DRIVE,JHS 185,NY
BROOKLYN,ELEMENTARY SCHOOL,605 SHEPHERD AVENUE,PS 72 & PLAYGROUND,NY
BRONX,ELEMENTARY SCHOOL,1260 FRANKLIN AVENUE,PS 63 & MINI-SCHOOL,NY
QUEENS,SPECIAL EDUCATION SCHOOL,56-37 188 STREET,PS 177 & PLAYGROUND,NY
BROOKLYN,ACADEMIC HIGH SCHOOL,2502 GLENWOOD ROAD,MIDWOOD HS & ATHLETIC FIELD,NY
BROOKLYN,ELEMENTARY SCHOOL,528 RIDGEWOOD AVENUE,PS 7/IS 171 & PLAYGROUND,NY
QUEENS,ELEMENTARY SCHOOL,187-01 FOCH BOULEVARD,PS 36 MINI-SCHOOL,NY
BROOKLYN,INTERMEDIATE SCHOOL,183 SOUTH 3 STREET,JHS 50 & PLAYGROUND,NY
QUEENS,INTERMEDIATE SCHOOL,132-55 RIDGEDALE STREET,IS 59 & PLAYGROUND,NY
STATEN ISLAND,VOCATIONAL HIGH SCHOOL,290 ST MARKS PLACE,MCKEE VOCATIONAL HS,NY
BROOKLYN,ELEMENTARY SCHOOL,574 DUMONT AVENUE,PS 174,NY
BROOKLYN,VOCATIONAL HIGH SCHOOL,976 PRESIDENT STREET,CLARA BARTON HS & PS 241,NY
QUEENS,ACADEMIC HIGH SCHOOL,21-27 HIMROD STREET,GROVER CLEVELAND HS & ATHL FLD,NY
BRONX,ACADEMIC HIGH SCHOOL,800 EAST GUN HILL ROAD,EVANDER CHILDS HS,NY
BROOKLYN,ELEMENTARY SCHOOL,133 EAST 53 STREET,PS 268 & PLAYGROUND,NY
MANHATTAN,OTHER SCHOOL,225 WEST 143 STREET,GARDEN FOR P.S. 194,NY
BRONX,ELEMENTARY SCHOOL,2252-60 RYER AVENUE,PS 9 (OLD PS 115),NY
MANHATTAN,INTERMEDIATE SCHOOL,511 WEST 182 STREET,JHS 143,NY
QUEENS,INTERMEDIATE SCHOOL,68-17 AUSTIN STREET,J.H.S 190 & PLAYGROUND (JOP),NY
BRONX,ELEMENTARY SCHOOL,1290 SPOFFORD AVENUE,PS 48,NY
STATEN ISLAND,ACADEMIC HIGH SCHOOL,455 NEW DORP LANE,NEW DORP HS & AF,NY
