InputID,TargetID,Distance
1,Al Karak,0.221721171014
3,Buzmeyin,0.0526324624814
2,Al Ladhiqiyah,0.144408036939
5877,Iraklio,1.1082549107
8,Al Khalil,0.208418004566
11,Iraklio,0.408843567409
9712,Al Ladhiqiyah,0.144408036939
12,As Salt,0.230569794451
13,Al Aqabah,0.10661139997
14,Al Qunaytirah,0.34713470868
7793,Nabatiye et Tahta,0.256395311798
16,Sparti,0.101878534504
7794,Saida,0.00326167893321
9713,Piraiévs,0.206150410754
17,Volos,0.4810609473
18,Sparti,0.101878534504
5878,Lamia,0.265998307404
19,Varamin,0.239101501046
20,Patra,0.520403483984
21,Iraklio,0.350232618378
22,Kavala,1.1152439462
9652,Rajkot,0.717056768568
24,Lamia,0.404420391425
23,Tekirdag,0.51007152534
25,Cholpon Ata,0.421744479419
28,Rodos,0.161089337449
8196,Siwa,0.0166747671673
9732,Cadiz,1.00261348578
29,Genoa,0.443881310155
9733,Portimao,2.27007041199
7795,Iraklio,1.11117272152
7895,Lanzhou,0.667096269274
30,Tianshui,0.862725450007
32,Weifang,0.433609472118
55,Kerch,0.202279898125
9734,Portimao,1.85378901795
9753,Durres,0.0547653558331
9786,Dobrich,0.665462034988
9754,Sukhumi,0.0283120206341
33,Longxi,0.159576837826
34,El Arish,0.406440090053
35,As Salt,0.230569794451
8197,Luxor,0.0499622038449
7796,Lemosos,0.326291479226
36,Yibin,0.0424937450433
37,Ammochostos,0.0901121556743
38,Ashgabat,0.0971557962091
39,Soke,0.0498446446256
40,Soke,0.148031041336
41,Patra,0.470975835532
42,Kundian,0.76097785257
43,Gunsan,0.23097819951
44,Bursa,0.342177789224
8178,El Arish,0.406440090053
7896,Nanyang,0.0281719111777
46,Kondoz,0.461290788102
49,Kavala,0.117521497046
48,Hatay,0.131884647811
50,Iraklio,0.350232618378
51,Durres,0.189320814795
52,Denizli,0.176613394018
5880,Iraklio,0.128679112772
53,Salerno,0.270651414636
57,Paphos,0.424750639871
58,Naples,0.184132618757
60,Gunsan,0.23097819951
61,Canakkale,0.540726070217
62,Gyeongju,0.0443281324325
63,Mitilini,0.591705334753
9970,Kirikkale,0.4932586804
64,Hatay,0.131884647811
9969,Izmit,0.0122071254824
65,Gyeongju,0.0443281324325
7897,Tianshui,0.527232954935
66,Linxia,0.360511138882
5883,Rodos,0.341281779225
7898,Tianshui,0.625765319335
67,Rodos,0.283651916954
68,Chalkida,1.03688896299
5884,Pingdu,0.712155664768
69,Mitilini,0.519245236434
9757,Catania,0.506388330657
